,province_dagri_code,province_name
58,12,SUMATERA UTARA
221,14,RIAU
7313,15,JAMBI
2,16,SUMATERA SELATAN
1288,18,LAMPUNG
14349,19,KEPULAUAN BANGKA BELITUNG
23,21,KEPULAUAN RIAU
6287,31,DKI JAKARTA
1,32,JAWA BARAT
22,33,JAWA TENGAH
0,34,DAERAH ISTIMEWA YOGYAKARTA
9,35,JAWA TIMUR
7,36,BANTEN
14,51,BALI
4807,52,NUSA TENGGARA BARAT
5506,53,NUSA TENGGARA TIMUR
230,61,KALIMANTAN BARAT
4466,62,KALIMANTAN TENGAH
332,64,KALIMANTAN TIMUR
4467,73,SULAWESI SELATAN
4454,74,SULAWESI TENGGARA
177440,92,PAPUA BARAT
