,kabko_id,lat,long,kabko
0,445.0,-6.1751,106.865,KOTA JAKARTA
1,441.0,-6.4025,106.7942,KOTA DEPOK
2,498.0,-6.2024,106.6527,KOTA TANGERANG
3,499.0,-6.2835,106.7113,KOTA TANGERANG SELATAN
4,382.0,-6.1872,106.4877,KAB. TANGERANG
5,162.0,-7.6579,110.6646,KAB. KLATEN
6,211.0,-7.4305,110.2832,KAB. MAGELANG
7,440.0,-8.6705,115.2126,KOTA DENPASAR
8,145.0,-7.6681,109.6525,KAB. KEBUMEN
9,428.0,-6.2383,106.9756,KOTA BEKASI
10,19.0,-6.8652,107.492,KAB. BANDUNG BARAT
11,458.0,-7.9666,112.6326,KOTA MALANG
12,16.0,-8.5819,115.1771,KAB. BADUNG
13,62.0,-6.5518,106.6291,KAB. BOGOR
14,421.0,-6.9175,107.6191,KOTA BANDUNG
15,434.0,-6.5971,106.806,KOTA BOGOR
16,34.0,-7.4832,109.1404,KAB. BANYUMAS
17,44.0,-6.2474,107.1485,KAB. BEKASI
18,139.0,-6.3227,107.3376,KAB. KARAWANG
19,339.0,-6.1397,106.0405,KAB. SERANG
20,460.0,-8.577,116.1005,KOTA MATARAM
21,319.0,-6.5649,107.4322,KAB. PURWAKARTA
22,487.0,-7.0051,110.4381,KOTA SEMARANG
23,439.0,-6.732,108.5523,KOTA CIREBON
24,496.0,-7.2575,112.7521,KOTA SURABAYA
25,197.0,-6.5644,106.2522,KAB. LEBAK
26,233.0,-0.999,133.0195,KAB. MANOKWARI
27,360.0,-6.3488,107.7636,KAB. SUBANG
28,480.0,-0.0263,109.3425,KOTA PONTIANAK
29,370.0,-6.8329,107.9532,KAB. SUMEDANG
30,148.0,-7.0265,110.1879,KAB. KENDAL
31,203.0,-8.6946,116.2777,KAB. LOMBOK TENGAH
32,461.0,3.5952,98.6722,KOTA MEDAN
33,494.0,-6.9277,106.93,KOTA SUKABUMI
34,437.0,-6.0025,106.0111,KOTA CILEGON
35,457.0,-5.1477,119.4327,KOTA MAKASSAR
36,497.0,-7.5755,110.8243,KOTA SURAKARTA
37,344.0,-7.4726,112.6675,KAB. SIDOARJO
38,448.0,-7.848,112.0178,KOTA KEDIRI
39,449.0,-3.9985,122.513,KOTA KENDARI
40,469.0,-2.9761,104.7754,KOTA PALEMBANG
41,176.0,-6.7726,110.8791,KAB. KUDUS
42,353.0,-7.7325,110.4024,KAB. SLEMAN
43,468.0,-2.2161,113.914,KOTA PALANGKARAYA
44,134.0,0.1467,101.1617,KAB. KAMPAR
45,455.0,-7.6311,111.53,KOTA MADIUN
46,336.0,-7.1765,110.4739,KAB. SEMARANG
47,361.0,-6.8649,106.9536,KAB. SUKABUMI
48,478.0,0.5071,101.4478,KOTA PEKANBARU
49,425.0,1.1301,104.0529,KOTA BATAM
50,18.0,-7.1341,107.6215,KAB. BANDUNG
51,446.0,-1.6101,103.6131,KOTA JAMBI
52,177.0,-7.8267,110.1641,KAB. KULON PROGO
53,87.0,-7.358,107.1957,KAB. CIANJUR
54,318.0,-7.3059,109.4259,KAB. PURBALINGGA
55,214.0,-6.7791,108.2852,KAB. MAJALENGKA
56,510.0,-7.7956,110.3695,KOTA YOGYAKARTA
57,30.0,-7.3794,109.6163,KAB. BANJARNEGARA
58,32.0,-7.919,110.3785,KAB. BANTUL
59,231.0,-8.6688,120.0665,KAB. MANGGARAI BARAT
60,477.0,-6.8898,109.6746,KOTA PEKALONGAN
61,472.0,-2.1316,106.1169,KOTA PANGKAL PINANG
62,485.0,-0.4948,117.1436,KOTA SAMARINDA
63,103.0,-7.5012,107.7636,KAB. GARUT
64,505.0,-6.8797,109.1256,KOTA TEGAL
65,112.0,-8.0305,110.6169,KAB. GUNUNGKIDUL
66,488.0,-6.1104,106.164,KOTA SERANG
67,252.0,-1.5521,103.8216,KAB. MUARO JAMBI
68,456.0,-7.4797,110.2177,KOTA MAGELANG
69,420.0,-5.3971,105.2668,KOTA BANDAR LAMPUNG
70,309.0,-7.8651,111.4696,KAB. PONOROGO
71,188.0,-7.1269,112.3338,KAB. LAMONGAN
72,75.0,-8.2239,114.9517,KAB. BULELENG
