,kabko_id,lat,long,next_kabko_id,next_lat,next_long,trajectory_id
0,16.0,-8.5819,115.1771,445.0,-6.1751,106.865,32
1,18.0,-7.1341,107.6215,445.0,-6.1751,106.865,3
2,19.0,-6.8652,107.492,445.0,-6.1751,106.865,6
3,32.0,-7.919,110.3785,445.0,-6.1751,106.865,1
4,34.0,-7.4832,109.1404,445.0,-6.1751,106.865,4
5,44.0,-6.2474,107.1485,445.0,-6.1751,106.865,1174
6,59.0,-8.0955,112.1609,445.0,-6.1751,106.865,1
7,62.0,-6.5518,106.6291,445.0,-6.1751,106.865,2202
8,87.0,-7.358,107.1957,445.0,-6.1751,106.865,9
9,103.0,-7.5012,107.7636,445.0,-6.1751,106.865,1
10,139.0,-6.3227,107.3376,445.0,-6.1751,106.865,145
11,145.0,-7.6681,109.6525,445.0,-6.1751,106.865,1
12,148.0,-7.0265,110.1879,445.0,-6.1751,106.865,2
13,162.0,-7.6579,110.6646,445.0,-6.1751,106.865,1
14,177.0,-7.8267,110.1641,445.0,-6.1751,106.865,7
15,188.0,-7.1269,112.3338,445.0,-6.1751,106.865,1
16,189.0,-5.1095,104.1466,445.0,-6.1751,106.865,1
17,197.0,-6.5644,106.2522,445.0,-6.1751,106.865,12
18,203.0,-8.6946,116.2777,445.0,-6.1751,106.865,1
19,211.0,-7.4305,110.2832,445.0,-6.1751,106.865,1
20,231.0,-8.6688,120.0665,445.0,-6.1751,106.865,1
21,233.0,-0.999,133.0195,445.0,-6.1751,106.865,1
22,236.0,-5.0549,119.6963,445.0,-6.1751,106.865,1
23,252.0,-1.5521,103.8216,445.0,-6.1751,106.865,1
24,309.0,-7.8651,111.4696,445.0,-6.1751,106.865,1
25,318.0,-7.3059,109.4259,445.0,-6.1751,106.865,2
26,319.0,-6.5649,107.4322,445.0,-6.1751,106.865,14
27,336.0,-7.1765,110.4739,445.0,-6.1751,106.865,3
28,339.0,-6.1397,106.0405,445.0,-6.1751,106.865,123
29,353.0,-7.7325,110.4024,445.0,-6.1751,106.865,6
30,360.0,-6.3488,107.7636,445.0,-6.1751,106.865,6
31,361.0,-6.8649,106.9536,445.0,-6.1751,106.865,3
32,370.0,-6.8329,107.9532,445.0,-6.1751,106.865,4
33,382.0,-6.1872,106.4877,445.0,-6.1751,106.865,2902
34,420.0,-5.3971,105.2668,445.0,-6.1751,106.865,1
35,421.0,-6.9175,107.6191,445.0,-6.1751,106.865,144
36,425.0,1.1301,104.0529,445.0,-6.1751,106.865,1
37,428.0,-6.2383,106.9756,445.0,-6.1751,106.865,4173
38,434.0,-6.5971,106.806,445.0,-6.1751,106.865,1531
39,437.0,-6.0025,106.0111,445.0,-6.1751,106.865,5
40,439.0,-6.732,108.5523,445.0,-6.1751,106.865,6
41,440.0,-8.6705,115.2126,445.0,-6.1751,106.865,11297
42,441.0,-6.4025,106.7942,445.0,-6.1751,106.865,4274
43,446.0,-1.6101,103.6131,445.0,-6.1751,106.865,1
44,455.0,-7.6311,111.53,445.0,-6.1751,106.865,2
45,457.0,-5.1477,119.4327,445.0,-6.1751,106.865,5
46,458.0,-7.9666,112.6326,445.0,-6.1751,106.865,6
47,460.0,-8.577,116.1005,445.0,-6.1751,106.865,3
48,461.0,3.5952,98.6722,445.0,-6.1751,106.865,5
49,469.0,-2.9761,104.7754,445.0,-6.1751,106.865,1
50,472.0,-2.1316,106.1169,445.0,-6.1751,106.865,1
51,477.0,-6.8898,109.6746,445.0,-6.1751,106.865,1
52,478.0,0.5071,101.4478,445.0,-6.1751,106.865,3
53,480.0,-0.0263,109.3425,445.0,-6.1751,106.865,2
54,485.0,-0.4948,117.1436,445.0,-6.1751,106.865,1
55,487.0,-7.0051,110.4381,445.0,-6.1751,106.865,15
56,488.0,-6.1104,106.164,445.0,-6.1751,106.865,2
57,494.0,-6.9277,106.93,445.0,-6.1751,106.865,2
58,496.0,-7.2575,112.7521,445.0,-6.1751,106.865,17
59,497.0,-7.5755,110.8243,445.0,-6.1751,106.865,2
60,498.0,-6.2024,106.6527,445.0,-6.1751,106.865,1801
61,499.0,-6.2835,106.7113,445.0,-6.1751,106.865,6962
62,505.0,-6.8797,109.1256,445.0,-6.1751,106.865,3
63,510.0,-7.7956,110.3695,445.0,-6.1751,106.865,8
