,province_name,kabko,next_kabko,trajectory_id
45,DKI JAKARTA,KOTA JAKARTA,KOTA DENPASAR,11382
69,DKI JAKARTA,KOTA JAKARTA,KOTA TANGERANG SELATAN,6951
46,DKI JAKARTA,KOTA JAKARTA,KOTA DEPOK,4494
41,DKI JAKARTA,KOTA JAKARTA,KOTA BEKASI,4070
37,DKI JAKARTA,KOTA JAKARTA,KAB. TANGERANG,2986
7,DKI JAKARTA,KOTA JAKARTA,KAB. BOGOR,2086
68,DKI JAKARTA,KOTA JAKARTA,KOTA TANGERANG,1701
42,DKI JAKARTA,KOTA JAKARTA,KOTA BOGOR,1535
6,DKI JAKARTA,KOTA JAKARTA,KAB. BEKASI,1098
13,DKI JAKARTA,KOTA JAKARTA,KAB. KARAWANG,164
