,next_province_name,kabko,next_kabko,trajectory_id
41,DKI JAKARTA,KOTA DENPASAR,KOTA JAKARTA,11297
61,DKI JAKARTA,KOTA TANGERANG SELATAN,KOTA JAKARTA,6962
42,DKI JAKARTA,KOTA DEPOK,KOTA JAKARTA,4274
37,DKI JAKARTA,KOTA BEKASI,KOTA JAKARTA,4173
33,DKI JAKARTA,KAB. TANGERANG,KOTA JAKARTA,2902
7,DKI JAKARTA,KAB. BOGOR,KOTA JAKARTA,2202
60,DKI JAKARTA,KOTA TANGERANG,KOTA JAKARTA,1801
38,DKI JAKARTA,KOTA BOGOR,KOTA JAKARTA,1531
5,DKI JAKARTA,KAB. BEKASI,KOTA JAKARTA,1174
10,DKI JAKARTA,KAB. KARAWANG,KOTA JAKARTA,145
